ID,Case No,Case Title,Letter URL,Date Received,No of MD Residents,Information Breached,How Breach Occurred
4502,itu-270415,"Medical Colleagues of Texas, LLP",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2016/itu-270415.pdf,5/11/2016,18,"name, address, ssn, health insurance info",unauthorized access
4503,itu-270437 (update),SD Associates P.C.,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2016/itu-270437 (update).pdf,5/11/2016,1,"name, address, ssn",hackers
4504,itu-270437,SD Associates P.C.,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2016/itu-270437.pdf,5/11/2016,1,"name, address, ssn",hackers
4505,itu-270458,Hill+Knowlton,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2016/itu-270458.pdf,5/11/2016,20,"name, address, ssn, salary info",info emailed to unauthorized recipient
4506,itu-270413,Westcor Land Title Insurance Company,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2016/itu-270413.pdf,5/10/2016,,,
4507,itu-270411 (1),"Astreya Partners, Inc.",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2016/itu-270411 (1).pdf,5/10/2016,1,"name, ssn, w-2 tax info",phishing
4508,itu-270411 (2),"Astreya Partners, Inc.",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2016/itu-270411 (2).pdf,5/10/2016,1,"name, ssn, w-2 tax info",phishing
4509,itu-270410,Curse Inc.,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2016/itu-270410.pdf,5/10/2016,14,"name, ssn, 1099 tax info",info inadvertently transmitted
4510,itu-270413 (2),Westcor Land Title Insurance Company,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2016/itu-270413 (2).pdf,5/10/2016,,,
4511,itu-270438,"Intuit, Inc.",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2016/itu-270438.pdf,5/10/2016,38,"name, ssn, tax info",unauthorized access
4512,itu-270407,"I.M. Systems Group, Inc.",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2016/itu-270407.pdf,5/9/2016,197,"name, ssn, w-2 tax info",phishing
4513,itu-270409,"Group Benefit Services, Inc.",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2016/itu-270409.pdf,5/9/2016,71,"name, ssn",error during software upgrade
4514,itu-270408 (1),"Rug Doctor, LLC",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2016/itu-270408 (1).pdf,5/9/2016,,"name, ssn, w-2 tax info",phishing
4515,itu-270408 (2),"Rug Doctor, LLC",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2016/itu-270408 (2).pdf,5/9/2016,,"name, ssn, w-2 tax info",phishing
4516,itu-270408 (3),"Rug Doctor, LLC",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2016/itu-270408 (3).pdf,5/9/2016,,"name, ssn, w-2 tax info",phishing
4517,itu-270439,Symphony Health Solutions Corporation,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2016/itu-270439.pdf,5/9/2016,2,"name, ssn, w-2 tax info",phishing
4518,itu-270440,"NTT Data, Inc.",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2016/itu-270440.pdf,5/9/2016,4,"name, ssn, w-2 tax info",phishing
4519,itu-270406,"Primary Residential Mortgage, Inc.",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2016/itu-270406.pdf,5/6/2016,106,"name, ssn, w-2 tax info",phishing
4520,itu-270441,"AxoGen, Inc.",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2016/itu-270441.pdf,5/6/2016,2,"name, ssn, w-2 tax info",phishing
4521,itu-270405,Brunswick Corporation,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2016/itu-270405.pdf,5/5/2016,,"name, ssn, w-2 tax info",phishing
4522,itu-270404,California State University Northridge,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2016/itu-270404.pdf,5/5/2016,,"name, address, ssn, email address, phone number",info inadvertently accessible
4523,itu-270403,"RagingWire Data Centers, Inc.",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2016/itu-270403.pdf,5/5/2016,18,"name, ssn, w-2 tax info",phishing
4524,itu-270400,Areas,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2016/itu-270400.pdf,5/4/2016,587,"name, ssn, address",phishing
4525,itu-270401 (2),Certifikid LLC,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2016/itu-270401 (2).pdf,5/4/2016,,"name, payment card info,",malware
4526,itu-270402,Avention,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2016/itu-270402.pdf,5/4/2016,2,"name, ssn, w-2 tax info",phishing
4527,itu-270401 (1),Certifikid LLC,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2016/itu-270401 (1).pdf,5/4/2016,,"name, payment card info,",malware
4528,itu-270442,"Nordic Consulting Partners, Inc.",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2016/itu-270442.pdf,5/4/2016,,"name, ssn, w-2 tax info",info visible in envelope window
4529,itu-270398,Strafaci & Associates,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2016/itu-270398.pdf,5/3/2016,,"name, ssn, dln, address",phishing
4530,itu-270397,Sanctuary Clothing LLC,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2016/itu-270397.pdf,5/3/2016,12,"name, payment card info, email address, address",malware
4531,itu-270399 (1),Charles Schwab & Co. Inc.,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2016/itu-270399 (1).pdf,5/3/2016,77,"names, account numbers, login info",unauthorized access
4532,itu-270399 (2),Charles Schwab & Co. Inc.,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2016/itu-270399 (2).pdf,5/3/2016,77,"names, account numbers, login info",unauthorized access
4533,itu-270394,Delaware Breast Cancer Coalition,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2016/itu-270394.pdf,5/2/2016,56,personal information,unauthorized access
4534,itu-270395,Total Community Options Inc. DBA InnovAge,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2016/itu-270395.pdf,5/2/2016,1,"name, ssn, w-2 tax info",phishing
4535,itu-270396,"ValMark Securities, Inc.",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2016/itu-270396.pdf,5/2/2016,3,"name, ssn, w-2 tax info",phishing
4536,itu-270393,"Hi-Tec Sports USA, Inc.",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2016/itu-270393.pdf,4/29/2016,,"name, address, payment card info",malware
4537,itu-270387,South Loop CPA,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2016/itu-270387.pdf,4/29/2016,3,"name, ssn, w-2 tax info",stolen laptop
4538,itu-270393 (update),"Hi-Tec Sports USA, Inc.",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2016/itu-270393 (update).pdf,4/29/2016,,"name, address, payment card info",malware
4539,itu-270390,"Alpha Payroll Services, LLC",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2016/itu-270390.pdf,4/29/2016,9,"name, ssn, w-2 tax info",phishing
4540,itu-270391,Union League Club of Chicago,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2016/itu-270391.pdf,4/29/2016,,"name, payment card info",employee improperly using keylogging software
4541,itu-270392,"PhyMed Management, LLC",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2016/itu-270392.pdf,4/29/2016,,"name, ssn, w-2 tax info",phishing
4542,itu-270388,HAECO,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2016/itu-270388.pdf,4/29/2016,10,"name, ssn, w-2 tax info",phishing
4543,itu-270387 (2),South Loop CPA,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2016/itu-270387 (2).pdf,4/29/2016,3,"name, ssn, w-2 tax info",stolen laptop
4544,itu-270445,"Intuit, Inc.",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2016/itu-270445.pdf,4/29/2016,52,"name, ssn, tax info",unauthorized acess
4545,itu-270446,"TD Bank, N.A.",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2016/itu-270446.pdf,4/29/2016,2,"name, account info, address",improper access by employee
4546,itu-270385,Symphony EYC,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2016/itu-270385.pdf,4/28/2016,,"name, ssn, w-2 tax info",phishing
4547,itu-270385 update,Symphony EYC,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2016/itu-270385 update.pdf,4/28/2016,,"name, ssn, w-2 tax info",phishing
4548,itu-270386,"Pure Integration, Inc.",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2016/itu-270386.pdf,4/28/2016,2,"name, ssn, w-2 tax info",phishing
4549,itu-270443,New Leaders,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2016/itu-270443.pdf,4/28/2016,,"name, ssn, w-2 tax info",phishing
4550,itu-270448,Anthelio Healthcare Solutions Inc.,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2016/itu-270448.pdf,4/28/2016,20,"name, ssn, w-2 tax info",phishing
4551,itu-266833 (1),Maryland Health Benefit Exchange,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2016/itu-266833 (1).pdf,4/27/2016,139,"name, address, insurance status, and the last four numbers of your Social Security Number and the names and last four numbers for dependent(s) Social Security Numbers",inadvertent disclosure
4552,itu-266833 (2),Maryland Health Benefit Exchange,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2016/itu-266833 (2).pdf,4/27/2016,139,"name, address, insurance status, and the last four numbers of your Social Security Number and the names and last four numbers for dependent(s) Social Security Numbers",inadvertent disclosure
4553,itu-270384 (2),"Puppet, Inc.",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2016/itu-270384 (2).pdf,4/27/2016,3,"name, ssn, w-2 tax info",phishing
4554,itu-270384 (1),"Puppet, Inc.",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2016/itu-270384 (1).pdf,4/27/2016,3,"name, ssn, w-2 tax info",phishing
4555,itu-270383,"21st Century Oncology Services, Inc.",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2016/itu-270383.pdf,4/27/2016,"14,686","name, ssn, medical info",unauthorized access
4556,itu-270380 (2),"Veterans Management Services, Inc.",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2016/itu-270380 (2).pdf,4/26/2016,64,"name, ssn, w-2 tax info",phishing
4557,itu-270380,"Veterans Management Services, Inc.",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2016/itu-270380.pdf,4/26/2016,64,"name, ssn, w-2 tax info",phishing
4558,itu-270379,O.C. Tanner,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2016/itu-270379.pdf,4/26/2016,13,"name, ssn, w-2 tax info",phishing
4559,itu-270381,AIM Inc.,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2016/itu-270381.pdf,4/26/2016,"1,338","name, driver's license",unauthorized access
4560,itu-270382,"Avinger, Inc.",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2016/itu-270382.pdf,4/26/2016,,"name, ssn, w-2 tax info",phishing
4561,itu-270447,Michels Corporation,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2016/itu-270447.pdf,4/26/2016,10,"name, ssn, w-2 tax info",phishing
4562,itu-270376,"VBrick Systems, Inc.",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2016/itu-270376.pdf,4/25/2016,6,"name, ssn, w-2 tax info",phishing
4563,itu-270377,"Draper James, LLC",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2016/itu-270377.pdf,4/25/2016,10,"name, address, payment card info, email address",malware
4564,itu-270378,Acceptance Insurance,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2016/itu-270378.pdf,4/25/2016,,"name, ssn, w-2 tax info",info inadvertently included in email attachment
4565,itu-270444,GoldKey PHR,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2016/itu-270444.pdf,4/25/2016,4,"name, ssn, w-2 tax info",phishing
4566,itu-266653,Coe College,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2016/itu-266653.pdf,4/24/2016,1,"name, address, ssn, dob, academic info",info inadvertently attached to email
4567,itu-266516,"American Eagle Mortgage Co., LLC",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2016/itu-266516.pdf,4/21/2016,1,"name, address, ssn",phishing
4568,itu-266514,"Millennium Engineering and Integration, Co.",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2016/itu-266514.pdf,4/21/2016,,"name, address, ssn, tax info",phishing
4569,itu-266515,"LuckyPet, Inc.",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2016/itu-266515.pdf,4/21/2016,179,"name, address, payment card info",malicious software
4570,itu-266513 (2),"The Fruitful Yield, Inc.",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2016/itu-266513 (2).pdf,4/20/2016,76,"name, payment card number, address",hackers
4571,itu-266518 (1),"Voya Financial Advisors, Inc.",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2016/itu-266518 (1).pdf,4/20/2016,53,"name, address, ssn, dob, sln, account numbers",unauthorized access to VFA database
4572,itu-266518 (2),"Voya Financial Advisors, Inc.",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2016/itu-266518 (2).pdf,4/20/2016,53,"name, address, ssn, dob, sln, account numbers",unauthorized access to VFA database
4573,itu-266518 (update),"Voya Financial Advisors, Inc.",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2016/itu-266518 (update).pdf,4/20/2016,53,"name, address, ssn, dob, sln, account numbers",unauthorized access to VFA database
4574,itu-266513 (1),"The Fruitful Yield, Inc.",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2016/itu-266513 (1).pdf,4/20/2016,76,"name, payment card number, address",hackers
4575,itu-266652,"Plasticpak Packagin, Inc.",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2016/itu-266652.pdf,4/20/2016,12,"name, address, ssn, health insurance info",info inadvertently mailed to wrong recipients
4576,itu-266661,"Cipriani & Werner, P.C.",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2016/itu-266661.pdf,4/20/2016,6,"name, address, ssn, tax info",unauthorized access
4577,itu-266651,"Geltrude & Company, LLC",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2016/itu-266651.pdf,4/20/2016,6,"name, address, ssn, tax info",cyber attack
4578,itu-266785,B3 Solutions,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2016/itu-266785.pdf,4/20/2016,155,"name, address, ssn, tax info",phishing
4579,itu-266520,"Resources for Human Development, Inc.",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2016/itu-266520.pdf,4/19/2016,12,"name, address, ssn",malfunctioning envelope sealer
4580,itu-266519,CCL Label,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2016/itu-266519.pdf,4/19/2016,143,"name, address, ssn, tax info",phishing
4581,itu-266522,"Gertrude & Company, LLC",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2016/itu-266522.pdf,4/18/2016,6,"name, bank account info, ssn",unauthorized access
4582,itu-266523,Nations Lending Corporation,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2016/itu-266523.pdf,4/18/2016,27,"name, address, ssn, tax info",phishing
4583,itu-266525,"doTERRA International, LLC",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2016/itu-266525.pdf,4/18/2016,"7,744","name, ssn, payment card info, dob, phone number, username, passwords",unauthorized access
4584,itu-266524,Rosa Mexicano,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2016/itu-266524.pdf,4/18/2016,10,"name, address, ssn, tax info",phishing
4585,itu-266660,DealerSocket Inc.,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2016/itu-266660.pdf,4/18/2016,5,"name, address, ssn, tax info",phishing
4586,itu-266654,TMEIC Corporation,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2016/itu-266654.pdf,4/18/2016,,"name, address, ssn, tax info",phishing
4587,itu-266943,Tidewater Community College,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2016/itu-266943.pdf,4/18/2016,3,"name, address, ssn, tax info",phishing
4588,itu-270466,QuickCert,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2016/itu-270466.pdf,4/18/2016,,"name, payment card info, address",malware
4589,itu-266530 (2),TTI Floor Care North America,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2016/itu-266530 (2).pdf,4/15/2016,14,"name, payment card info",improper use by former employee
4590,itu-266530,TTI Floor Care North America,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2016/itu-266530.pdf,4/15/2016,14,"name, payment card info",improper use by former employee
4591,itu-266531 (2),The Umstead Hotel and Spa,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2016/itu-266531 (2).pdf,4/15/2016,1,"name, address, ssn, tax info",phishing
4592,itu-266527,"Highway Toll Administration, LLC",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2016/itu-266527.pdf,4/15/2016,2,"name, address, ssn, tax info",phishing
4593,itu-266529,ProSchools and QuickCert,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2016/itu-266529.pdf,4/15/2016,,"name, address, payment card info",malicious software
