Business/Organization Name,Entity Type,Date Submitted,Breach Date,Breach Type,Individuals Affected,NC Residents Affected
Lehigh Hanson Heidelberg Cement Group,GENERAL BUSINESS,12/8/2008,9/30/2008,"DATA THEFT BY EMPLOYEE OR, CONTRACTOR",,1240
"Fiserv, Inc.",GENERAL BUSINESS,12/12/2008,12/2/2008,HACKERS/ UNAUTHORIZED,,3225
"DJO, LLC",GENERAL BUSINESS,12/12/2008,11/14/2008,"STOLEN LAPTOPS, COMPUTERS, & EQUIP",,2184
"Cole National Group, Inc.",GENERAL BUSINESS,12/12/2008,9/11/2008,HACKERS/ UNAUTHORIZED,,1477
Rochester Institute of Technology,EDUCATIONAL,12/8/2008,11/17/2008,"STOLEN LAPTOPS, COMPUTERS, & EQUIP",,25
Cavender's Boot City,GENERAL BUSINESS,12/2/2008,10/1/2008,HACKERS/ UNAUTHORIZED,,3516
Nationwide Mutual Insurance Co.,FINANCIAL SERVICES/INSURANCE,12/5/2008,11/5/2008,RELEASE/ DISPLAY OF INFO,,1
Nationwide Mutual Insurance Co.,FINANCIAL SERVICES/INSURANCE,12/5/2008,11/23/2008,"STOLEN LAPTOPS, COMPUTERS, & EQUIP",,1
"Stanlex, Inc. d/b/a Home Care of the Carolinas",HEALTHCARE,11/21/2008,11/9/2008,"STOLEN LAPTOPS, COMPUTERS, & EQUIP",,1329
Hewlett-Packard Co.,GENERAL BUSINESS,12/4/2008,6/26/2008,"STOLEN LAPTOPS, COMPUTERS, & EQUIP",,63051
Countrywide Home Loans,FINANCIAL SERVICES/INSURANCE,11/20/2008,4/28/2008,"DATA THEFT BY EMPLOYEE OR, CONTRACTOR",,31710
Express Script,INFORMATION ONLY,11/12/2008,10/28/2008,INFORMATION ONLY,,
"Helen Grace Chocolates, Inc.",GENERAL BUSINESS,11/7/2008,8/15/2008,HACKERS/ UNAUTHORIZED,,2
Kraft Foods,GENERAL BUSINESS,11/12/2008,10/16/2008,"DATA THEFT BY EMPLOYEE OR, CONTRACTOR",11,7
Shamrock Corp.,GENERAL BUSINESS,11/7/2008,8/15/2008,HACKERS/ UNAUTHORIZED,,1336
The Nielsen Company,GENERAL BUSINESS,11/13/2008,10/20/2008,"STOLEN LAPTOPS, COMPUTERS, & EQUIP",,14
Starbucks Corp.,GENERAL BUSINESS,11/18/2008,10/29/2008,"STOLEN LAPTOPS, COMPUTERS, & EQUIP",,1522
NC Division of Aging & Adult Services,GOVERNMENT,10/31/2008,10/25/2008,"STOLEN LAPTOPS, COMPUTERS, & EQUIP",,52391
Fiserv Health Plan Administrator,GENERAL BUSINESS,10/31/2008,9/25/2008,"STOLEN LAPTOPS, COMPUTERS, & EQUIP",,1082
"Cole National Group, Inc.",GENERAL BUSINESS,10/13/2008,4/1/2008,HACKERS/ UNAUTHORIZED,,1477
Wyndham Hotels & Resorts,GENERAL BUSINESS,10/15/2008,9/12/2008,HACKERS/ UNAUTHORIZED,,5297
City of Coral Springs,GOVERNMENT,9/24/2008,9/24/2008,RELEASE/ DISPLAY OF INFO,,140
TPC Las Vegas f/k/a TPC Canyons,GENERAL BUSINESS,10/8/2008,5/23/2008,"STOLEN LAPTOPS, COMPUTERS, & EQUIP",,
AmeriCredit,FINANCIAL SERVICES/INSURANCE,9/25/2008,9/25/2008,"DATA THEFT BY EMPLOYEE OR, CONTRACTOR",,71
"Carneiro, Chumney & Co.",GENERAL BUSINESS,9/17/2008,8/8/2008,"STOLEN LAPTOPS, COMPUTERS, & EQUIP",,1
Regal Entertainment Group,GENERAL BUSINESS,9/17/2008,8/29/2008,LOST IN TRANSIT,,1819
NACCO Materials Handling Group Inc.,GENERAL BUSINESS,9/15/2008,8/10/2008,"HACKERS/ UNAUTHORIZED, ACCESS",,990
Forever 21,GENERAL BUSINESS,9/16/2008,8/5/2008,HACKERS/ UNAUTHORIZED,98930,
"Pss World Medical, Inc.",GENERAL BUSINESS,9/17/2008,8/30/2008,HACKERS/ UNAUTHORIZED,,171
Howard University,EDUCATIONAL,9/10/2008,8/30/2008,"STOLEN LAPTOPS, COMPUTERS, & EQUIP",,78
Rochester Institute of Technology,EDUCATIONAL,9/16/2008,8/25/2008,"STOLEN LAPTOPS, COMPUTERS, & EQUIP",,205
Aetna Life Insurance Co.,FINANCIAL SERVICES/INSURANCE,9/16/2008,8/4/2008,RELEASE/ DISPLAY OF INFO,,21
US Foodservices,GENERAL BUSINESS,9/3/2008,9/3/2008,"STOLEN LAPTOPS, COMPUTERS, & EQUIP",,1532
Intuit,GENERAL BUSINESS,9/5/2008,5/26/2008,"STOLEN LAPTOPS, COMPUTERS, & EQUIP",,59
Interactive Financial Marketing Group (Dominion Enterprises),GENERAL BUSINESS,8/18/2008,11/1/2007,"HACKERS/ UNAUTHORIZED, ACCESS",,2972
Nationwide Mutual Insurance Company,FINANCIAL SERVICES/INSURANCE,8/14/2008,7/17/2008,"DATA THEFT BY EMPLOYEE OR, CONTRACTOR",,9
Territory Mortgage,FINANCIAL SERVICES/INSURANCE,8/11/2008,7/29/2008,LOST IN TRANSIT,,180
Honeywell International,GENERAL BUSINESS,7/16/2008,6/24/2008,HACKERS/ UNAUTHORIZED,,1617
Affiliated Mortgage D/B/A YSU Lending,FINANCIAL SERVICES/INSURANCE,8/5/2008,7/14/2008,"STOLEN LAPTOPS, COMPUTERS, & EQUIP",,2300
Alaska Airlines,GENERAL BUSINESS,8/5/2008,6/11/2008,"DATA THEFT BY EMPLOYEE OR, CONTRACTOR",,1505
Anheuser Busch,GENERAL BUSINESS,7/21/2008,6/6/2008,"STOLEN LAPTOPS, COMPUTERS, & EQUIP",,1020
The Walt Disney Co.,GENERAL BUSINESS,7/24/2008,2/27/2008,LOST IN TRANSIT,,19189
The Goldman Sachs Group,FINANCIAL SERVICES/INSURANCE,7/24/2008,5/28/2008,"STOLEN LAPTOPS, COMPUTERS, & EQUIP",,26
Pillsbury Winthrop Shaw Pittman,GENERAL BUSINESS,7/25/2008,5/26/2008,"STOLEN LAPTOPS, COMPUTERS, & EQUIP",,10
Nationwide Mutual Insurance Company,FINANCIAL SERVICES/INSURANCE,7/18/2008,7/2/2008,"STOLEN LAPTOPS, COMPUTERS, & EQUIP",,2
Tele Atlas,GENERAL BUSINESS,7/14/2008,6/9/2008,LOST IN TRANSIT,,4
"Greensboro Gynecology Associates, P.A.",HEALTHCARE,6/16/2008,5/29/2008,"STOLEN LAPTOPS, COMPUTERS, & EQUIP",,47000
Heinemann-Raintree Publishers,GENERAL BUSINESS,7/11/2008,1/1/2007,HACKERS/ UNAUTHORIZED,,34
Willis,GENERAL BUSINESS,6/10/2008,6/9/2008,LOST IN TRANSIT,,1578
Oakland University,EDUCATIONAL,7/10/2008,5/19/2008,"STOLEN LAPTOPS, COMPUTERS, & EQUIP",,2
"4pm Raftlatac, Inc.",GENERAL BUSINESS,7/11/2008,7/10/2008,LOST IN TRANSIT,,42
Bristol-Myers Squibb Co.,GENERAL BUSINESS,7/11/2008,6/4/2008,"STOLEN LAPTOPS, COMPUTERS, & EQUIP",,5526
Digital Marketing Services,GENERAL BUSINESS,7/3/2008,12/28/2007,HACKERS/ UNAUTHORIZED,,1442
Nationwide Mutual Insurance Company,FINANCIAL SERVICES/INSURANCE,7/3/2008,6/24/2008,"STOLEN LAPTOPS, COMPUTERS, & EQUIP",,2
California Banker's Benefits (COLT),RELIGIOUS/NONPROFIT,6/30/2008,5/26/2008,"STOLEN LAPTOPS, COMPUTERS, & EQUIP",,
"Washington Government Environmental Services, LLC (COLT)",GENERAL BUSINESS,7/1/2008,5/27/2008,"STOLEN LAPTOPS, COMPUTERS, & EQUIP",,12
"CNET Networks, Inc.",GENERAL BUSINESS,6/24/2008,5/26/2008,"STOLEN LAPTOPS, COMPUTERS, & EQUIP",6500,100
Nationwide Mutual Insurance Company,FINANCIAL SERVICES/INSURANCE,6/20/2008,5/20/2008,"STOLEN LAPTOPS, COMPUTERS, & EQUIP",,52
Nielson Mobile,GENERAL BUSINESS,6/26/2008,5/26/2008,"STOLEN LAPTOPS, COMPUTERS, & EQUIP",,18
"Highland Capital Brokerage, Inc.",FINANCIAL SERVICES/INSURANCE,6/12/2008,6/5/2008,RELEASE/ DISPLAY OF INFO,,3
"SunGaurd Data Systems, Inc.",GENERAL BUSINESS,6/19/2008,5/11/2008,LOST IN TRANSIT,,570
Bebe,GENERAL BUSINESS,6/16/2008,5/29/2008,"STOLEN LAPTOPS, COMPUTERS, & EQUIP",,316
Zhone Technologies,FINANCIAL SERVICES/INSURANCE,6/16/2008,5/26/2008,"STOLEN LAPTOPS, COMPUTERS, & EQUIP",,42
Xlibris Corp.,GENERAL BUSINESS,6/20/2008,6/12/2008,HACKERS/ UNAUTHORIZED,4200,87
"Fischbach, Loc",FINANCIAL SERVICES/INSURANCE,6/30/2008,3/21/2008,LOST IN TRANSIT,,9
Nationwide Mutual Insurance Company,FINANCIAL SERVICES/INSURANCE,6/26/2008,5/6/2008,"STOLEN LAPTOPS, COMPUTERS, & EQUIP",,39
Nationwide Mutual Insurance Company,FINANCIAL SERVICES/INSURANCE,6/26/2008,5/21/2008,"STOLEN LAPTOPS, COMPUTERS, & EQUIP",,1
Google,GENERAL BUSINESS,6/2/2008,5/26/2008,"STOLEN LAPTOPS, COMPUTERS, & EQUIP",,
National Western Life Insurance Co.,FINANCIAL SERVICES/INSURANCE,6/26/2008,5/30/2008,RELEASE/ DISPLAY OF INFO,5498,824
Newedge USA,GENERAL BUSINESS,6/24/2008,6/6/2008,LOST IN TRANSIT,,570
JDS Uniphase Corp.,GENERAL BUSINESS,6/23/2008,5/26/2008,"STOLEN LAPTOPS, COMPUTERS, & EQUIP",,674
Aon,FINANCIAL SERVICES/INSURANCE,6/18/2008,5/30/2008,"STOLEN LAPTOPS, COMPUTERS, & EQUIP",,152
"Ebara Technologies, inc. Employee Medical Benefits Plan",FINANCIAL SERVICES/INSURANCE,6/18/2008,5/27/2008,"STOLEN LAPTOPS, COMPUTERS, & EQUIP",,8
"Quixtar, Inc.",FINANCIAL SERVICES/INSURANCE,6/11/2008,5/27/2008,"HACKERS/ UNAUTHORIZED, ACCESS",,32
National Farmers union Property and Casualty,FINANCIAL SERVICES/INSURANCE,6/13/2008,5/2/2008,"STOLEN LAPTOPS, COMPUTERS, & EQUIP",20414,1
Nationwide Mutual Insurance Company,FINANCIAL SERVICES/INSURANCE,6/6/2008,5/6/2008,RELEASE/ DISPLAY OF INFO,,7
United Transportation Union Insurance Association,RELIGIOUS/NONPROFIT,6/9/2008,5/8/2008,LOST IN TRANSIT,,593
"Altman Weil, Inc",GENERAL BUSINESS,6/4/2008,5/16/2008,HACKERS/ UNAUTHORIZED,,14
Investor Bank & Trust,FINANCIAL SERVICES/INSURANCE,5/29/2008,4/30/2008,"STOLEN LAPTOPS, COMPUTERS, & EQUIP",,700
R.E. Moultan,FINANCIAL SERVICES/INSURANCE,5/23/2008,3/7/2008,"STOLEN LAPTOPS, COMPUTERS, & EQUIP",,19000
The Bank of New York Mellon,FINANCIAL SERVICES/INSURANCE,5/30/2008,5/8/2008,RELEASE/ DISPLAY OF INFO,109921,3863
1st Source Bank,FINANCIAL SERVICES/INSURANCE,5/29/2008,5/12/2008,"HACKERS/ UNAUTHORIZED, ACCESS",,267
Nationwide Mutual Ins Co,FINANCIAL SERVICES/INSURANCE,5/15/2008,3/19/2008,"STOLEN LAPTOPS, COMPUTERS, & EQUIP",50,1
Purdue Pharma LP,GENERAL BUSINESS,4/30/2008,3/26/2008,"DATA THEFT BY EMPLOYEE OR, CONTRACTOR",,248
Saks Fifth Avenue,GENERAL BUSINESS,4/30/2008,4/15/2008,"STOLEN LAPTOPS, COMPUTERS, & EQUIP",,1051
Nationwide Mutual Ins Co,FINANCIAL SERVICES/INSURANCE,4/24/2008,4/9/2008,RELEASE/ DISPLAY OF INFO,,1
Central Collection Bureau,FINANCIAL SERVICES/INSURANCE,4/17/2008,3/21/2008,"STOLEN LAPTOPS, COMPUTERS, & EQUIP",700000,309
Stryker Instruments,GENERAL BUSINESS,4/10/2008,2/18/2008,HACKERS/ UNAUTHORIZED,,34
Gerdau Ameristeel,GENERAL BUSINESS,4/11/2008,4/11/2008,HACKERS/ UNAUTHORIZED,,1157
"Ryerson, Inc.",FINANCIAL SERVICES/INSURANCE,4/16/2008,4/3/2008,"STOLEN LAPTOPS, COMPUTERS, & EQUIP",,410
Aon,FINANCIAL SERVICES/INSURANCE,4/14/2008,4/7/2008,RELEASE/ DISPLAY OF INFO,,29
Stokes County High School,EDUCATIONAL,4/9/2008,4/7/2008,"STOLEN LAPTOPS, COMPUTERS, & EQUIP",,800
Interbank Fx,FINANCIAL SERVICES/INSURANCE,4/7/2008,4/2/2008,RELEASE/ DISPLAY OF INFO,,235
Walnut Street Securities,FINANCIAL SERVICES/INSURANCE,4/7/2008,2/7/2008,RELEASE/ DISPLAY OF INFO,,17
GMAC Insurance,FINANCIAL SERVICES/INSURANCE,4/2/2008,3/25/2008,"STOLEN LAPTOPS, COMPUTERS, & EQUIP",,1268
BNY Mellon Shareowner Services,FINANCIAL SERVICES/INSURANCE,3/19/2008,2/27/2008,LOST IN TRANSIT,8000000,248000
Toshiba,GENERAL BUSINESS,3/20/2008,1/24/2008,RELEASE/ DISPLAY OF INFO,,21
The Heritage Group,GENERAL BUSINESS,3/19/2008,3/9/2008,"STOLEN LAPTOPS, COMPUTERS, & EQUIP",,47
"Pfizer, Inc.",GENERAL BUSINESS,3/21/2008,2/11/2008,"STOLEN LAPTOPS, COMPUTERS, & EQUIP",,21
Employment Security Commission of NC,GOVERNMENT,3/14/2008,3/10/2008,"STOLEN LAPTOPS, COMPUTERS, & EQUIP",,1771
The Dental Network,FINANCIAL SERVICES/INSURANCE,3/10/2008,2/20/2008,RELEASE/ DISPLAY OF INFO,,95
DaVita Inc.,HEALTHCARE,3/3/2008,2/4/2008,"STOLEN LAPTOPS, COMPUTERS, & EQUIP",,260
Nestle Waters N.A.,GENERAL BUSINESS,2/26/2008,2/11/2008,"STOLEN LAPTOPS, COMPUTERS, & EQUIP",,15
"Administrative Systems, inc (subsidiary of National Financial Partners)",FINANCIAL SERVICES/ INSURANCE,2/21/2008,12/31/2007,"STOLEN LAPTOPS, COMPUTERS, & EQUIP",,13236
Mecklenburg County,GOVERNMENT,2/27/2008,2/27/2008,"STOLEN LAPTOPS, COMPUTERS, & EQUIP",,400
Kraft Foods,GENERAL BUSINESS,2/28/2008,1/16/2008,"STOLEN LAPTOPS, COMPUTERS, & EQUIP",19246,32
Cross Country Staffing,GENERAL BUSINESS,2/8/2008,2/1/2008,"STOLEN LAPTOPS, COMPUTERS, & EQUIP",4000,202
Nationwide Financial,FINANCIAL SERVICES/INSURANCE,2/13/2008,1/23/2008,"DATA THEFT BY EMPLOYEE OR, CONTRACTOR",,19
ECU,EDUCATIONAL,2/6/2008,2/6/2008,RELEASE/ DISPLAY OF INFO,,2538
Salesforce.com,GENERAL BUSINESS,2/8/2008,1/30/2008,"STOLEN LAPTOPS, COMPUTERS, & EQUIP",,8
Wake County EMS,GOVERNMENT,2/11/2008,1/17/2008,"STOLEN LAPTOPS, COMPUTERS, & EQUIP",,4733
Wendy's,GENERAL BUSINESS,1/29/2008,11/29/2007,RELEASE/ DISPLAY OF INFO,,27
Kiwanis International,RELIGIOUS/NONPROFIT,1/28/2008,1/4/2008,HACKERS/ UNAUTHORIZED,,570
"Mariner Health Care, Inc",FINANCIAL SERVICES/INSURANCE,1/18/2008,12/31/2007,"STOLEN LAPTOPS, COMPUTERS, & EQUIP",,7048
Sava Senior Care Administrative Services,FINANCIAL SERVICES/INSURANCE,12/31/2007,12/31/2007,"STOLEN LAPTOPS, COMPUTERS, & EQUIP",25749,4405
"CBIZ Benefits & Insurance Services, Inc.",FINANCIAL SERVICES/INSURANCE,1/22/2008,12/26/2007,"STOLEN LAPTOPS, COMPUTERS, & EQUIP",,2282
Franklin University,EDUCATIONAL,1/7/2008,12/7/2007,RELEASE/ DISPLAY OF INFO,6440,73
GE Money,FINANCIAL SERVICES/INSURANCE,1/3/2008,12/1/2007,LOST IN TRANSIT,,15372
Nationwide Insurance Company,FINANCIAL SERVICES/INSURANCE,10/3/2007,7/9/2007,"STOLEN LAPTOPS, COMPUTERS, & EQUIP",246,1
Wendy's,GENERAL BUSINESS,12/21/2007,12/3/2007,"STOLEN LAPTOPS, COMPUTERS, & EQUIP",1092,14
Robotic Industries Association,GENERAL BUSINESS,12/20/2007,12/11/2007,HACKERS/ UNAUTHORIZED,,38
Art.com,GENERAL BUSINESS,12/12/2007,10/12/2007,HACKERS/ UNAUTHORIZED,10000,0
Duke University School of Law,EDUCATIONAL,12/6/2007,11/29/2007,HACKERS/ UNAUTHORIZED,1380,189
Deloitte & Touche USA LLP,FINANCIAL SERVICES/INSURANCE,12/5/2007,11/19/2007,"STOLEN LAPTOPS, COMPUTERS, & EQUIP",22634,566
Prudential Financial,FINANCIAL SERVICES/INSURANCE,11/30/2007,9/27/2007,"DATA THEFT BY EMPLOYEE OR, CONTRACTOR",,2437
Celanese,GENERAL BUSINESS,11/20/2007,2/15/2007,"DATA THEFT BY EMPLOYEE OR, CONTRACTOR",6000,
Wake Technical Community College,EDUCATIONAL,11/16/2007,10/18/2007,RELEASE/ DISPLAY OF INFO,,1870
Scotland County Schools,GOVERNMENT,11/15/2007,11/13/2007,"STOLEN LAPTOPS, COMPUTERS, & EQUIP",,100
Military Officers Association of America,RELIGIOUS/NONPROFIT,11/9/2007,11/1/2007,"HACKERS/ UNAUTHORIZED, ACCESS",,9843
Cabarrus County,GOVERNMENT,11/9/2007,10/28/2007,"STOLEN LAPTOPS, COMPUTERS, & EQUIP",,28000
KimsCraft,GENERAL BUSINESS,11/6/2007,10/1/2007,HACKERS/ UNAUTHORIZED,,74
MeadWestvaco,GENERAL BUSINESS,11/6/2007,10/12/2007,RELEASE/ DISPLAY OF INFO,,652
YWCA Retirement Fund,RELIGIOUS/NONPROFIT,10/25/2007,10/1/2007,"STOLEN LAPTOPS, COMPUTERS, & EQUIP",13000,299
"iWire, Inc.",GENERAL BUSINESS,10/18/2007,10/1/2007,HACKERS/ UNAUTHORIZED,5234,95
St. Vincent's Catholic Medical Centers of NY,HEALTHCARE,10/15/2007,6/1/2007,"DATA THEFT BY EMPLOYEE OR, CONTRACTOR",30000,12
Central Piedmont Community College,EDUCATIONAL,10/16/2007,9/17/2007,"DATA THEFT BY EMPLOYEE OR, CONTRACTOR",3437,3280
Administaff,GENERAL BUSINESS,10/15/2007,10/3/2007,"STOLEN LAPTOPS, COMPUTERS, & EQUIP",159000,3050
Daymon Worldwide,GENERAL BUSINESS,10/5/2007,9/10/2007,HACKERS/ UNAUTHORIZED,1416,
MassMutual,FINANCIAL SERVICES/INSURANCE,10/3/2007,8/10/2007,RELEASE/ DISPLAY OF INFO,5135,195
Hartford Fire Ins Co,FINANCIAL SERVICES/INSURANCE,10/4/2007,9/27/2007,LOST IN TRANSIT,,1700
Pfizer,GENERAL BUSINESS,7/17/2007,7/17/2007,"DATA THEFT BY EMPLOYEE OR, CONTRACTOR",,4
"Gap, Inc.",GENERAL BUSINESS,9/28/2007,9/19/2007,"STOLEN LAPTOPS, COMPUTERS, & EQUIP",800000,24000
The Nature Conservancy,RELIGIOUS/NONPROFIT,9/24/2007,9/12/2007,HACKERS/ UNAUTHORIZED,14000,290
Merlin,GENERAL BUSINESS,9/25/2007,8/31/2007,HACKERS/ UNAUTHORIZED,2297,99
Kraft,GENERAL BUSINESS,9/5/2007,8/1/2007,RELEASE/ DISPLAY OF INFO,,370
FirstHealth of the Carolinas,HEALTHCARE,9/10/2007,8/31/2007,"STOLEN LAPTOPS, COMPUTERS, & EQUIP",3913,3850
McKesson,GENERAL BUSINESS,8/29/2007,7/18/2007,"STOLEN LAPTOPS, COMPUTERS, & EQUIP",68779,3757
The Hartford,FINANCIAL SERVICES/INSURANCE,8/31/2007,8/29/2007,"HACKERS/ UNAUTHORIZED, ACCESS",526,3
Voxant,GENERAL BUSINESS,8/29/2007,6/20/2007,HACKERS/ UNAUTHORIZED,4500,320
AT&T,GENERAL BUSINESS,8/20/2007,7/31/2007,"STOLEN LAPTOPS, COMPUTERS, & EQUIP",,6700
Pfizer,GENERAL BUSINESS,8/23/2007,12/1/2006,"DATA THEFT BY EMPLOYEE OR, CONTRACTOR",34000,976
Nationwide Ins Co,FINANCIAL SERVICES/INSURANCE,8/15/2007,5/22/2007,"STOLEN LAPTOPS, COMPUTERS, & EQUIP",140,34
HP,GENERAL BUSINESS,8/16/2007,8/5/2007,"STOLEN LAPTOPS, COMPUTERS, & EQUIP",1425,7
Celgene Corp.,GENERAL BUSINESS,8/15/2007,7/24/2007,"STOLEN LAPTOPS, COMPUTERS, & EQUIP",1951,10
NC ESC,GOVERNMENT,8/13/2007,7/28/2007,"STOLEN LAPTOPS, COMPUTERS, & EQUIP",,274
BCBS of NC,FINANCIAL SERVICES/INSURANCE,8/7/2007,7/31/2007,RELEASE/ DISPLAY OF INFO,2940,1424
"Fidelity National Card Services, Inc.",FINANCIAL SERVICES/INSURANCE,7/31/2007,7/20/2007,"DATA THEFT BY EMPLOYEE OR, CONTRACTOR",,16446
DE Cout System,GOVERNMENT,7/25/2007,6/21/2007,"STOLEN LAPTOPS, COMPUTERS, & EQUIP",2718,22
Standard Life and Casualty Insurance Co.,FINANCIAL SERVICES/INSURANCE,7/18/2007,7/13/2007,RELEASE/ DISPLAY OF INFO,4,2
Pfizer,GENERAL BUSINESS,7/20/2007,5/31/2007,"STOLEN LAPTOPS, COMPUTERS, & EQUIP",950,36
"Kingston Technology Company, Inc.",GENERAL BUSINESS,7/9/2007,9/1/2005,"HACKERS/ UNAUTHORIZED, ACCESS",27000,578
"Certegy Check Services, Inc. (subsidiary of Fidelity Information Services, Inc.)",FINANCIAL SERVICES/ INSURANCE,7/4/2007,6/27/2007,DATA THEFT BY EMPLOYEE OR CONTRACTOR,8500000,145197
"City Harvest, Inc.",RELIGIOUS/NONPROFIT,6/29/2007,4/24/2007,"DATA THEFT BY EMPLOYEE OR, CONTRACTOR",12646,22
United Healthcare,FINANCIAL SERVICES/INSURANCE,6/26/2007,6/26/2007,"DATA THEFT BY EMPLOYEE OR, CONTRACTOR",127,3
Nationwide Mutual Ins Co,FINANCIAL SERVICES/INSURANCE,6/25/2007,4/11/2007,"DATA THEFT BY EMPLOYEE OR, CONTRACTOR",,5
Nationwide Mutual Ins Co,FINANCIAL SERVICES/INSURANCE,6/25/2007,4/11/2007,"STOLEN LAPTOPS, COMPUTERS, & EQUIP",,8
UPS,GENERAL BUSINESS,6/21/2007,2/22/2007,"DATA THEFT BY EMPLOYEE OR, CONTRACTOR",21902,871
Pfizer,GENERAL BUSINESS,5/30/2007,5/30/2007,HACKERS/ UNAUTHORIZED,17000,569
LexisNexis,GENERAL BUSINESS,5/31/2007,5/31/2007,HACKERS/ UNAUTHORIZED,2111,60
LexisNexis,GENERAL BUSINESS,5/31/2007,5/31/2007,HACKERS/ UNAUTHORIZED,118475,3226
NC DOT,GOVERNMENT,5/25/2007,5/25/2007,HACKERS/ UNAUTHORIZED,,25000
"Lucent Technologies, Inc",GENERAL BUSINESS,5/24/2007,5/7/2007,LOST IN TRANSIT,,17000
"Greenline Media, Inc dba Mountain Xpress",GENERAL BUSINESS,5/23/2007,5/7/2007,"HACKERS/ UNAUTHORIZED, ACCESS",,5980
New Hanover Correctional Center,GOVERNMENT,5/16/2007,4/7/2007,"HACKERS/ UNAUTHORIZED, ACCESS",,1
GA Dept of Community Health,GOVERNMENT,5/3/2007,4/6/2007,LOST IN TRANSIT,2900000,172
vFinance Investments,FINANCIAL SERVICES/INSURANCE,4/9/2007,3/10/2007,"HACKERS/ UNAUTHORIZED, ACCESS",,790
Guilford Technical Community College,EDUCATIONAL,4/3/2007,3/26/2007,RELEASE/ DISPLAY OF INFO,,550
IBM,GENERAL BUSINESS,4/6/2007,2/23/2007,LOST IN TRANSIT,,53529
Commerce Banc Insurance Services,FINANCIAL SERVICES/INSURANCE,4/3/2007,3/2/2007,"STOLEN LAPTOPS, COMPUTERS, & EQUIP",17809,117
Merchant America,FINANCIAL SERVICES/INSURANCE,3/26/2007,1/24/2007,"HACKERS/ UNAUTHORIZED, ACCESS",,3237
NC DENR,GOVERNMENT,3/19/2007,3/19/2007,RELEASE/ DISPLAY OF INFO,,2700
Nationwide Retirement Solutions,FINANCIAL SERVICES/INSURANCE,3/12/2007,2/22/2007,RELEASE/ DISPLAY OF INFO,,1
NC Dept. of Correction,GOVERNMENT,3/6/2007,3/5/2007,RELEASE/ DISPLAY OF INFO,,16
H&R Block,FINANCIAL SERVICES/INSURANCE,3/2/2007,2/7/2007,RELEASE/ DISPLAY OF INFO,,90
Wachovia,FINANCIAL SERVICES/INSURANCE,2/14/2007,2/14/2007,"STOLEN LAPTOPS, COMPUTERS, & EQUIP",,4000
"Flex Compensation, Inc.",GENERAL BUSINESS,2/26/2007,2/14/2007,"STOLEN LAPTOPS, COMPUTERS, & EQUIP",63000,682
Credit Suisse,FINANCIAL SERVICES/INSURANCE,2/20/2007,3/15/2006,RELEASE/ DISPLAY OF INFO,,19
Fruit of the Loom,GENERAL BUSINESS,2/21/2007,2/17/2007,RELEASE/ DISPLAY OF INFO,2800,471
Mercury Marine Div of Brunswick Corp,GENERAL BUSINESS,2/16/2007,12/1/2006,"HACKERS/ UNAUTHORIZED, ACCESS",5100,8
Nationwide Insurance,FINANCIAL SERVICES/INSURANCE,2/16/2007,1/22/2007,"STOLEN LAPTOPS, COMPUTERS, & EQUIP",,1
LexisNexis,GENERAL BUSINESS,2/16/2007,2/16/2007,"DATA THEFT BY EMPLOYEE OR, CONTRACTOR",82,26
LexisNexis,GENERAL BUSINESS,2/16/2007,2/16/2007,HACKERS/ UNAUTHORIZED,500,1
Johns Hopkins Medicine,HEALTHCARE,2/16/2007,1/26/2007,LOST IN TRANSIT,83000,352
Johns Hopkins University,EDUCATIONAL,2/7/2007,1/18/2007,LOST IN TRANSIT,52000,193
ECU,EDUCATIONAL,2/2/2007,1/22/2007,RELEASE/ DISPLAY OF INFO,,65000
Unilever,GENERAL BUSINESS,2/6/2007,12/1/2006,"STOLEN LAPTOPS, COMPUTERS, & EQUIP",52000,1714
NC ESC,GOVERNMENT,2/6/2007,2/6/2007,RELEASE/ DISPLAY OF INFO,,21
"Bertelsmann, Inc.",GENERAL BUSINESS,2/3/2007,12/1/2006,"STOLEN LAPTOPS, COMPUTERS, & EQUIP",15000,865
"Public Storage, Inc.",GENERAL BUSINESS,1/29/2007,12/11/2006,HACKERS/ UNAUTHORIZED,6000,171
LexisNexis,GENERAL BUSINESS,2/1/2007,2/1/2007,HACKERS/ UNAUTHORIZED,2713,56
Nationwide Health Plans (NHP)/ Concentra,FINANCIAL SERVICES/INSURANCE,1/17/2007,12/11/2006,"STOLEN LAPTOPS, COMPUTERS, & EQUIP",28000,14
TJX,GENERAL BUSINESS,1/17/2007,12/15/2006,HACKERS/ UNAUTHORIZED,40000000,
Prudential Financial,FINANCIAL SERVICES/INSURANCE,1/17/2007,12/1/2006,"STOLEN LAPTOPS, COMPUTERS, & EQUIP",35000,286
Mercer Health & Benefits,FINANCIAL SERVICES/INSURANCE,1/9/2007,11/17/2006,"STOLEN LAPTOPS, COMPUTERS, & EQUIP",10500,31
NC Dept of Revenue,GOVERNMENT,1/12/2007,12/11/2006,"STOLEN LAPTOPS, COMPUTERS, & EQUIP",,33973
"Altria Group, Inc.",GENERAL BUSINESS,1/11/2007,12/1/2006,"STOLEN LAPTOPS, COMPUTERS, & EQUIP",16858,2801
Newhope Church,RELIGIOUS/NONPROFIT,1/10/2007,1/9/2007,"STOLEN LAPTOPS, COMPUTERS, & EQUIP",,25
