Company ,Address,Company Contact Information,Attorney                   (If Represented),Date of Breach,Date of Notification,Breach Start,Breach End,Date of Discovery,Type of Information,Number of Maine Residents Affected
Bashas 015,,None,"Simon Halfin, VP and Assistant General Counsel, Discover Card, 224-405-0933",13-Apr,5/21/2013,4/1/2013,,,Credit card account information,1
Bashas 016,,None,"Simon Halfin, VP and Assistant General Counsel, Discover Card, 224-405-0933",13-Apr,5/21/2013,4/1/2013,,,Credit card account information,1
Bashas 037,,None,"Simon Halfin, VP and Assistant General Counsel, Discover Card, 224-405-0933",13-Apr,5/21/2013,4/1/2013,,,Credit card account information,1
Bashas SW #151,,None,"Simon Halfin, VP and Assistant General Counsel, Discover Card, 224-405-0933",13-Apr,5/21/2013,4/1/2013,,,Credit card account information,1
DAK 2000,,None,"Simon Halfin, VP and Assistant General Counsel, Discover Card, 224-405-0933",13-Apr,5/21/2013,4/1/2013,,,Credit card account information,1
Food City #108,,None,"Simon Halfin, VP and Assistant General Counsel, Discover Card, 224-405-0933",13-Apr,5/21/2013,4/1/2013,,,Credit card account information,1
Haagen-Dazs #1123,,None,"Simon Halfin, VP and Assistant General Counsel, Discover Card, 224-405-0933",13-Apr,5/21/2013,4/1/2013,,,Credit card account information,1
Laughstub LLC,,None,"Simon Halfin, VP and Assistant General Counsel, Discover Card, 224-405-0933",13-Apr,5/21/2013,4/1/2013,,,Credit card account information,11
Mamacitas San Antonio,,None,"Simon Halfin, VP and Assistant General Counsel, Discover Card, 224-405-0933",13-Apr,5/21/2013,4/1/2013,,,Credit card account information,1
Shoplet.com,,None,"Simon Halfin, VP and Assistant General Counsel, Discover Card, 224-405-0933",13-Apr,5/21/2013,4/1/2013,,,Credit card account information,37
Stethoscope.com,,None,"Simon Halfin, VP and Assistant General Counsel, Discover Card, 224-405-0933",13-Apr,5/21/2013,4/1/2013,,,Credit card account information,1
webstarts,,None,"Simon Halfin, VP and Assistant General Counsel, Discover Card, 224-405-0933",13-Apr,5/21/2013,4/1/2013,,,Credit card account information,6
"Vendini, Inc.",,"Keith Goldberg, VP Marketing, 660 Market Street, San Francisco, CA 94104; Ph: 800-901-7173 Ext 767",N/A,Beginning 3/29/13 (Discovered 4/25/13,5/20/2013,3/29/2013,,4/25/2013,"name, address, email, phone nu. And credit card numbers and credit card exp dates","22,900"
The Edgewood Centre,,"Patricia J. Cummings, Administrator, The Edgewood Centre, 928 South Street, Portsmouth, NH 03801; Ph: 603-436-0099",N/A,5/16/2013,5/20/2013,5/16/2013,,,"name, SSN, bank account no. and amount of transfer",14
Knology,,"P.O. Box 63000, Colorado Springs, CO 80962","Steven Spagnolo, Esq., Hogan Lovells, US LLP, 555 Thirteenth Street, NW, Washington, DC 20004; Ph#: 1-202-637-5600","Between February 2013 and April, 2013",5/17/2013,2/1/2013,,,"name, address, birthdate, SSN, credit card numbers and credit history information",1
TD Bank,,"Joan B. Quinn, Chief Privacy Officer, TD Bank, N.A., 2461 Main Street, Glastonbury, CT 06033; Ph: 860-652-6534",N/A,? Date of Notice to us was 5/15/13,5/15/2013,NA,,,"name, address & account number",2
"YourTel America, Inc.",, None,"Jonathan D. Lee, Esq., JD Lee Consulting, LLC, 1776 I St., NW Suite 900, Washington, DC 20006; Ph: 202-756-1304",4/26/2013,5/13/2013,4/26/2013,,,"Names, addresses, SSNs, tax information and other government forms",51
PHH Corporation,,"Glen A. Messina, Pres. & CEO, 3000 Leadenhall Road, Mt. Laurel, NJ 08054; ","Contact William Brown, Gen Counsel  of PHH, Ph: 856-917-0903",4/3/2013,5/10/2013,4/3/2013,,,"Personnel records containing names, addresses, email addresses, phone numbers, birthdates, SSNs, 1-9 alien reg numbers, and ID numbers assigned by PHH.",60
LPL Financial,,"Ryan Smyth, LPL Financial, 9785 Towne Centre Drive, SanDiego, CA 92121; Ph: 858-450-9606",N/A,4/24/2013,5/7/2013,4/24/2013,,,"personal information including name, account number & SSN may have been breached.",1
HIS,,"Jaspal Chahal, SVP & General Counsel, HIS, 15 Inverness Way East, Englewood, CO 80112; Ph: 1-800-447-2273",N/A,2/22/2013,5/2/2013,2/22/2013,,,"names, contact informamtion, user names, passwords, payment card numbers and exp. Dates.",5
"ThyssenKrupp OnlineMetals, LLC",,"Shawn Lyman, Pres., TyssenKrupp Materials NA, Inc.,  OnlineMetals Div., 1138 W. Ewing St., Seattle, WA 98119; Ph: 206-285-8603 ",N/A,between 2/5/13 and 3/10/13,5/2/2013,2/5/2013,,,"names, credit or debit card numbers, card verfication numbers and possibly other info such as addresses, email addresses and phone numbers",11
1st National Bank of Southern California,,"Jeffrey Watson, Pres & CEO, 3727 Arlington Ave, Riverside, CA 92506; Ph: 951-788-2265","Jennifer Caughlin or John Mullen of Nelson Levine deLuca & Hamilton, LLC; Ph: 215-358-5134",2/1/2013,5/2/2013,2/1/2013,,,"backup tape containing customer names, addresses, SSNs, tax ID numbers, account numbers and account balances. The backup tape was password-protected. ",2
"WorldVentures Marketing, LLC",,"P.O. Box 3825, Swanee, GA 30024","Shawn Tuma, BrittonTuma, 7161 Bishop Road, Suite 220, Plano, TX 75024; Ph: 469-635-1335",Between 10/23/12 and 3/14/13,4/30/2013,10/23/2012,,,General payment cardholder information for consumers and representatives,39
"Revana, Inc & TeleTech Services, Corp.",,"Michael W. Byrne, Asst Gen. Counsel, 9197 So. Peoria Street, Englewood, CO 80112; Ph: 303-397-8235",N/A,4/8/2013,4/30/2013,4/8/2013,,,"names, addresses, credit card acct numbers, credit card exp dates and CVVs (card security codes), as well as teleph numbers and email addresses",0
Pearl Izumi,,None,"Robert Braun, JMBM (Jeffer Mangels, Butler & Mitchell LLP, 1900 Avenue of the Stars, 7th Floor, Los Angeles, CA 90067-4308; Ph:310-203-8080",2/18/2013,4/29/2013,2/18/2013,,,"names, addresses, phone numbers, account numbers and credit card information",5
"Living Social, Inc.",,None,"Edward R. McNicholas, SidleyAustin LLP, 1501 K.Street, N.W., Washington, D.C. 20005; Ph: 202-736-8000",4/5/2013,4/26/2013,4/5/2013,,,"names, email addresses, birthdates for some users, hashed and salted passwords if user had entered a password.",Uncertain
Iron Horse Bicycle Classic,,"P.O. Box 1389, Durango, CO 81302","Jena Valdetero,  Bryan Cave, LLP, 161 North Clark Street, Suite 4300, chicago, IL 60601-3315; Ph: 312-602-5056","As early as November 30, 12 ",4/25/2013,11/30/2012,,,"names, addresses and/or credit card information. In some instances the cards were used in fraudulent transactions",1
"Altria Group's payroll vendor (ADP, Inc.)",,"Sheila Mitchell, Asst Controller Disbursements, Altria Client Services, Inc., 6601 W. Broad, Richmend, VA 23230; ","Frank Cortez, 804-48408135",?,4/22/2013,NA,,,"names, addresses, SSNs, salary information relative to payment statements and W-2s. ",1
Fabric Depot Inc,,"Discover, Attn: Simon Halfin, VP & Asst Gen Counsel, 2500 Lake Cook Road, Riverwoods, IL 60015; Ph: 224-405-0933",N/A,13-Mar,4/18/2013,3/1/2013,,,Discover Card Account information may have been compromised,8
Sloppy Joes,,"Discover, Attn: Simon Halfin, VP & Asst Gen Counsel, 2500 Lake Cook Road, Riverwoods, IL 60015; Ph: 224-405-0933",N/A,13-Mar,4/18/2013,3/1/2013,,,Discover Card Account information may have been compromised,4
The Artists Club,,"Discover, Attn: Simon Halfin, VP & Asst Gen Counsel, 2500 Lake Cook Road, Riverwoods, IL 60015; Ph: 224-405-0933",N/A,13-Mar,4/18/2013,3/1/2013,,,Discover Card Account information may have been compromised,175
Iberdrola USA,,None,"Steven Spagnolo, Esq., Hogan Lovells, US LLP, 555 Thirteenth Street, NW, Washington, DC 20004; ph: 202-637-5516",4/4/2013,4/16/2013,4/4/2013,,,"names, addresses, birthdates, SSNs, driver's license numbers, ethnicity & veteran status and in some cases financial institution acct infor and passport info.",993
"Stanley Black & Decker, Inc.",,"Kathryn P. Sherer, Asst Gen. Counsel & Asst. Secretary, 1000 Stanley Drive, New Britain, CT 06053; Ph: 860-827-3973",N/A,1/28/2013,4/15/2013,1/28/2013,,,"Follow up from March 8, 2013 notice that breached info may have included SSNs in some instances",5
Chapman University,,"Janine DuMontelle, Asoc VP & University Counsel, One University Drive, Dept. 3707, Orange, CA 92866; Ph: 714-997-6533",N/A,2/27/2013,4/11/2013,2/27/2013,,,personal information which could have only bee viewed by authenticated Chapman University system users.,3
"The Vanguard Group, Inc.",,"Heather H. Moyer, Assoc. Counsel, P.O. Box 2600, Valley Forge, PA 19482; Ph: 610-669-9225",N/A,2/14/2013,4/10/2013,2/14/2013,,,"name, SSN, Vanguard account number and investment transaction info (the tax form info)",2
CSC (Computer Sciences Corporation),,"Adriaen M. Morese, Jr., CSC, 3170 Fairview Park Drive, Falls Church, VA 22042; Ph: 703-641-3133",N/A,3/5/2013,4/3/2013,3/5/2013,,,"name, SN, fed tax employer ID No. EIN and birthdate",343
"80sTees.com, Inc.",,"Waldoboro, Maine","Matthew Meade, Buchanan Ingersoll, Rooney, PC, One Oxford Centre, 301 Grant Street, 20th Floor, Pitsburgh, PA 15219-1410; Ph: 412-562-8800",Malware was installed on website server in early June of 2012,4/3/2013,Early June of 2012,,,"names, addresses, email addresses, phone numbers and credit card info",12
"Ellison Systems, Inc. d/b/a Shoplet.com",,None,"Lori S. Nugent, Wilson Elser, 312-821-6177 (direct); lori.nugent@wilsonelser.com",1/11/2013,4/2/2013,1/11/2013,,,"cusomters names, addreses, credit card info",632
"Tradebe Environmental Services, LLC",,None,"Kenneth Dort, DrinkerBiddle&Reath,LLP, 191 N. Wacker Dr, Suite 3700, Chicago, IL; 60606; ph:312-569-1458",3/20/2013,4/2/2013,3/20/2013,,,payroll and tax information with names and SSNs of currrent and former Tradebe employees,3
"Citi, Citigroup, Inc.",,"Michelle Hayward, General Counsel, 6460 Las Colinas, Blvd, Mail Code: MCLCB-10, Irving, TX 75039; Ph: 469-220-7472",N/A,?,3/28/2013,NA,,,"SSNs, financial account numbers, year of birth and names of minors",?
"Rollins, Inc.",,"Joseph Ward, Esq., Sr. Managing Atty, Rollins, Inc., 2170 Piedmont Road, Atlanta, GA 30324; Ph: 404-888-2074",N/A,3/12/2013,3/27/2013,3/12/2013,,,"SSNs, ",37
Dead River Co.,,"Leslie Anderson, Director of Risk & Corp Counsel, 82 Running Hill Road, Suite 400, So. Portland, ME  04106; Ph: 207-358-5800",N/A,3/6/13 (this is a supplement to 3/22/13 notice,3/22/2013,3/6/2013,,,"credit and debit card information and other financial accont info, as well as names, birthdates, SSNs provided as part of credit approval applications",89 in addition to the original 876 bringing total to 965
Dead River Co.,,"Leslie Anderson, Director of Risk & Corp Counsel, 82 Running Hill Road, Suite 400, So. Portland, ME  04106; Ph: 207-358-5800",N/A,between 3/6/13 and 3/8/2013,3/22/2013,3/6/2013,,,"credit and debit card information and other financial accont info, as well as names, birthdates, SSNs provided as part of credit approval applications",876
TLO ,,"Elizabeth P…, 4530 Conference Way S., Boca Raton, FL 33431; Ph: 561-226-9721; email: ElizabethP@TLO.com",N/A,"August of 2012 to January, 2013.",3/22/2013,8/1/2012,,,"Names, SSN and/or drivers' license Nu.",67
"United Shore Financial Services, LLC",,"Erin Castrok, VP, 1414 E. Maple Road, Troy, MI 48083","Anthony DeResta, Esq. of Winston& Strawn, LLP, 1700 K Street, NW, Washington, DC 20006; Ph: 202-282-5782",12/2/2012,3/20/2013,12/2/2012,,,"Personal info, such as name, contact information, birthdate, SSN and financial account information provided to USFS",2
Tennis Express,,None,"Craig A. Hoffman, BakerHostetler LLP, 312 Walnut Street, Suite 3200, Cincinnati, OH 45202; Ph: 513-929-0303",12/19/2012,3/20/2013,12/19/2012,,,"name, address, credit card number, verification value and exp date.",44
"Anthem (Connextions, call center vendor for Anthem's Medicare business customer service)",,"Jennifer Beers, 314-303-3559, P.O. Box 68085, Cincinnati, OH 45206-8085; ",N/A,1/7/2013,3/20/2013,1/7/2013,,,SSNs were taken by a Connextions employee. The employee has been fired,1
Eighth Day Sound,,"Cathy Bellante, 5450 Avion Park Drive, Highland Heights, Ohio 44143; Ph: 440-995-5900",N/A,2/19/2013,3/19/2013,2/19/2013,,,"Personal information includin gfull name, SSN and credit card number (without 3 or 4 digit security code).",1
Access Inmate Package,,None,"Simon Halfin, VP and Assistant General Counsel, Discover Card, 224-405-0933",13-Feb,3/19/2013,2/13/2019,,,Discover Card Account information may have been compromised,3
Applebees Clovis,,None,"Simon Halfin, VP and Assistant General Counsel, Discover Card, 224-405-0933",13-Feb,3/19/2013,2/13/2019,,,Discover Card Account information may have been compromised,4
Kor Water Inc,,None,"Simon Halfin, VP and Assistant General Counsel, Discover Card, 224-405-0933",2/1/2013,3/19/2013,2/1/2013,,,Discover Card Account information may have been compromised,4
Marthas Country Bakery,,None,"Simon Halfin, VP and Assistant General Counsel, Discover Card, 224-405-0933",2/1/2013,3/19/2013,2/1/2013,,,Discover Card Account information may have been compromised,1
Thread Pit Inc,,None,"Simon Halfin, VP and Assistant General Counsel, Discover Card, 224-405-0933",13-Feb,3/19/2013,2/13/2019,,,Discover Card Account information may have been compromised,11
Wilton Industries,,None,"Simon Halfin, VP and Assistant General Counsel, Discover Card, 224-405-0933",13-Feb,3/19/2013,2/13/2019,,,Discover Card Account information may have been compromised,15
Finish Line,,"Mark W. Clark, Deputy General Counsel, 3308 N. Mitthoefer Road, Indianapolis, IN 46235; Ph: 317-613-6894","Security Counsel, Jennifer Coughlin or James Prendergast of Nelson Levine deLuca & Hamilton, LLC at 214-358-5134 - Prendergast now with Lewis Brisbois, Bisgaard, & Smith, LLP, james.prendergast@lewisbrisbois.com",1/11/2013,3/15/2013,1/11/2013,,,names and SSNs of current and former Finish Line employees and in some cases the birthdate as well,33
University of Connecticut Health Center,,"Iris J. Mauriello, 263 Farmington Avenue, Farmington, CT 06030; Ph: 860-679-3501; mauriello@nso1.uchc.edu",N/A,1/7/2013,3/11/2013,1/7/2013,,,"Medical records including names, addresses, birthdates and in some cases SSNs and other personal health info.",1
"Innovative Beauty Inc., the company behind French Tip Dip",,"April Baxter, President, 1-800-713-0382",N/A,2/27/2013,3/8/2013,2/27/2013,,,Name and encrypted credit card number,?
"Stanley Black & Decker, Inc.",,"Kathryn P. Sherer, Asst Gen. Counsel & Asst. Secretary, 1000 Stanley Drive, New Britain, CT 06053; Ph: 860-827-3973",N/A,?,3/8/2013,NA,,,name and account number and routing number of the account that employhee has designated as the acct into which reimbursements for corp expenses should be deposited,?
Inova Health System,,None,"Craig A. Hoffman, BakerHostetler LLP, 312 Walnut Street, Suite 3200, Cincinnati, OH 45202; Ph: 513-929-0303",2/8/2013,3/7/2013,2/8/2013,,,"W-2 forms for employees from 2009-2012 which contained name, address, SN & earnings information",5
Frontier Natural Products Co-op,,"3021 78th Street, P.O. Box 299, Norway, IA 52318","David Navetta, Esq., Information LawGroup, 3147 S Dallas Ct., Denver, CO 80210; Ph: 303-325-3528","between 9/14/12 to January 31, 2013",3/6/2013,9/14/2012,1/31/2013,,"name, address, city, state, tel, username, password and payment card info, such as card number, exp date and security codes (e.g. Cvv2, CVC2/CID)",89
"MassMutual Financial Group (3rd party service provider, Convey Compliance Solutions)",,"Christopher Markowski, Asst. VP & Counsel, 1295 State Street, Springfield, MA 01111; Ph: 412-744-1181",N/A,,3/6/2013,,,,Update to 2/20/13 notice (1099 tax forms mailed to wrong addresses),additional 11 residents
Lyons & Lyons PC (tax preparation company),,None,"Lori S. Nugent, WilsonElser, 312-821-6177 (direct); Lori.Nugent@wilsonelser.com",2/20/2013,3/5/2013,2/20/2013,,,"first and last name, SSN, address and personal info provided to Lyons for tax prep services",1
Fabric Depot Inc,,"Trudy Parry, President, Fabric Depot, Inc., 700 SE 122nd Ave., Portland, OR 97233; Ph: 503-252-7960; trudyp@fabricdepot.com","JoAnn Lee Kohl, Esq., Lane Powell, 601 SW Second Ave, Ste 2100, Portland, Oregon 97204-3158; Ph: 503-778-2116; Kohlj@lanepowell.com",10/16/2012,3/4/2013,10/16/2012,,,"first and last name, credit card and debit card numbers, credit card verification codes and billing addresses",235
Rhode Island College,,"Richard W. Prull, Asst Pres for Information services, 600 Mt. Pleasant Avenue, Providence, RI 02908-1991; Ph: 401-456-8225",N/A,2/5/2013,2/28/2013,2/5/2013,,,Personal Information of college applications submitted online,1
Tim Hortons (one of their service providers--Computershare Trust Company of Canada),,"Jill E. Aebker, Exec VP, General Counsel & Sec, 874 Sinclair Road, Oakville, Ontario, L6K 2Y1; Ph: 905-339-6102",N/A,Dec. 2012,2/22/2013,12/1/2012,,,"name, address, account number and SSN of affected former shareholders",1
"Crescent Healthcare, Inc. (A Walgreens Company)",,"Caroline Buddle, Interim Director Privacy Office, 200 Wilmot Road, MS 9000, Deerfield, Illinois 60015; ",N/A,12/28/2012,2/22/2013,12/28/2012,,,"name, address, phone number, SSN, healh insurance information, date of birth & medical info including diagnosis and disability code.",?
